Date,Open,High,Low,Close,macd_cla,macdsignal_cla,macdhist_cla,macd_sh,macdsignal_sh,macdhist_sh,cci_14,cci_20,rsi_7,rsi_14,rsi_21,CDLXSIDEGAP3METHODS,CDLEVENINGSTAR,CDLMORNINGSTAR,CDLENGULFING,CDLDARKCLOUDCOVER,CDLDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLPIERCING,CDLSHOOTINGSTAR
2015-08-03,2.926,2.95,2.888,2.9219999999999997,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,2.9160000000000004,2.95,2.858,2.872,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-05,2.924,3.0,2.912,3.0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-06,3.0,3.03,2.948,2.97,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-07,2.944,2.97,2.908,2.924,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-10,2.95,2.95,2.91,2.932,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,2.938,2.938,2.89,2.89,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-12,2.89,2.89,2.6519999999999997,2.7,,,,,,,,,27.530364372469673,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-13,2.7319999999999998,2.826,2.7,2.73,,,,,,,,,32.32514177693763,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-14,2.74,2.758,2.68,2.6860000000000004,,,,,,,,,29.037735849056634,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-17,2.7039999999999997,2.74,2.6860000000000004,2.71,,,,,,,,,33.351054403685936,,,0,0,0,0,0,100,0,0,0,0,0
2015-08-18,2.71,2.838,2.702,2.772,,,,,,,,,43.670316000557456,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-19,2.758,2.762,2.688,2.7060000000000004,,,,,,,,,36.62729176825892,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-20,2.7060000000000004,2.7060000000000004,2.592,2.592,,,,,,,-122.597864768683,,27.643282901275107,,,0,0,0,0,0,0,0,0,0,0,0
2015-08-21,2.588,2.6239999999999997,2.522,2.54,,,,,,,-137.9249500058818,,24.451611756592882,28.442437923250548,,0,0,0,0,0,0,0,0,0,0,0
2015-08-24,2.47,2.546,2.4,2.5,,,,,,,-156.49810877308968,,22.155880868441034,27.12369597615497,,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,2.5140000000000002,2.61,2.488,2.55,,,,,,,-108.13269127875841,,31.530762256500793,31.405037946455305,,0,0,0,0,0,0,0,0,0,0,0
2015-08-26,2.548,2.57,2.484,2.522,,,,,,,-107.46529849262197,,29.23082561753003,30.33044240393974,,0,0,0,0,0,0,0,0,0,0,0
2015-08-27,2.56,2.574,2.502,2.5639999999999996,,,,,,,-79.28068490958555,,37.241875024955604,33.979657220813955,,0,0,0,0,0,100,0,-100,0,0,0
2015-08-28,2.5839999999999996,2.62,2.5340000000000003,2.56,,,,,,,-54.45058317986485,-80.56150368784193,36.77927470124756,33.79808730818166,,0,0,0,0,0,0,0,0,0,0,0
2015-08-31,2.5660000000000003,2.57,2.494,2.524,,,,,,,-73.02252488213689,-91.48518315324145,32.53576918154465,32.133851485089274,,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,2.52,2.52,2.454,2.5,,,,,,,-88.69499241274619,-98.31965611567017,29.85650176646708,31.036638729351186,30.99099099099097,0,0,0,0,0,0,100,0,0,0,0
2015-09-02,2.49,2.52,2.4419999999999997,2.508,,,,,,,-82.01927288655267,-89.5219854760197,32.03309858409283,31.87170133833558,31.509298998569363,0,0,0,0,0,0,0,0,0,0,0
2015-09-03,2.524,2.5380000000000003,2.4619999999999997,2.512,,,,,,,-65.55981268624936,-76.30799689374747,33.24150739774893,32.313028228221995,31.778306213874096,0,0,0,0,0,0,0,0,0,0,0
2015-09-04,2.496,2.5,2.4,2.432,,,,,,,-115.4152915291524,-100.95925885399565,23.494688608845244,28.356612868645115,29.356930114692837,0,0,0,0,0,0,0,0,0,0,0
2015-09-07,2.444,2.458,2.39,2.41,,,,,,,-139.91800535475184,-109.21454343602522,21.474530575157598,27.36435001542351,28.72493666305832,0,0,0,0,0,0,0,0,0,0,0
2015-09-08,2.39,2.456,2.39,2.444,,,,,,,-117.82312925170031,-101.01010101010085,32.01440801666449,31.361766477432727,31.13080834423858,0,0,0,0,0,0,0,0,0,0,0
